车辆,续航达成率,15min降温幅度,暴晒后温度,制冷后温度
阿维塔11,0.763,8.3,45.2,36.9
极氪ZEEKR 009,0.762,6.8,50.6,43.8
长安Lumin,0.75,4.8,47.9,43.1
小鹏P7i,0.744,20.4,58.9,38.5
极氪ZEEKR X,0.74,17.2,50.0,32.8
路特斯Eletre,0.726,7.5,51.3,43.8
高合HiPhi Z,0.721,10.9,45.8,34.9
小鹏G9,0.72,8.2,47.2,39.0
极狐阿尔法S,0.713,18.5,53.4,34.9
比亚迪汉EV,0.707,13.0,57.5,44.5
埃安AION S,0.7,10.3,57.4,47.1
蔚来ES6,0.698,14.4,53.4,39.0
蔚来ET5T,0.675,15.8,49.3,33.5
零跑C01,0.673,13.7,52.0,38.3
smart精灵#1,0.648,11.0,48.6,37.6
比亚迪海鸥,0.64,2.0,51.3,49.3
飞凡F7,0.635,12.3,57.5,45.2
凯迪拉克LYRIQ锐歌,0.63,9.6,52.7,43.1
吉利熊猫mini,0.625,10.3,49.2,38.9
欧拉好猫,0.624,9.6,52.0,42.4
岚图追光,0.624,15.4,50.6,35.2
比亚迪元PLUS,0.621,9.6,47.9,38.3
深蓝SL03,0.617,9.6,51.3,41.7
AITO问界M5,0.613,10.3,46.5,36.2
丰田bZ3,0.613,13.7,46.5,32.8
别克E5,0.612,13.0,52.7,39.7
特斯拉Model 3,0.594,10.4,60.3,49.9
五菱缤果,0.581,17.2,53.4,36.2
智己LS7,0.58,16.5,50.0,33.5
比亚迪海豹,0.562,19.7,60.0,40.3
特斯拉Model S,0.558,8.2,45.8,37.6
特斯拉Model Y,0.545,10.3,54.1,43.8
哪吒S,0.543,15.8,54.1,38.3
宝骏悦也,0.531,8.3,45.2,36.9
埃安AION Y,0.51,6.9,54.1,47.2
五菱宏光MINIEV,0.466,9.6,48.6,39.0
